mode,mechanism,sim_latency_ms,handshake_time_ms,wire_bytes
classical,n/a,0,0.4549,72
classical,n/a,0,0.7092,72
classical,n/a,0,0.6042,72
classical,n/a,0,0.5112,72
classical,n/a,0,0.5044,72
classical,n/a,0,0.503,72
classical,n/a,0,0.482,72
classical,n/a,0,0.4597,72
classical,n/a,0,0.5811,72
classical,n/a,0,0.6037,72
classical,n/a,50,116.6788,72
classical,n/a,50,118.6959,72
classical,n/a,50,127.2169,72
classical,n/a,50,118.3263,72
classical,n/a,50,115.3325,72
classical,n/a,50,114.3789,72
classical,n/a,50,115.1077,72
classical,n/a,50,123.156,72
classical,n/a,50,121.2695,72
classical,n/a,50,114.7338,72
pqc,ML-KEM-768,0,0.6853,2312
pqc,ML-KEM-768,0,0.8935,2312
pqc,ML-KEM-768,0,0.8027,2312
pqc,ML-KEM-768,0,0.691,2312
pqc,ML-KEM-768,0,0.7488,2312
pqc,ML-KEM-768,0,1.2779,2312
pqc,ML-KEM-768,0,1.0372,2312
pqc,ML-KEM-768,0,0.7172,2312
pqc,ML-KEM-768,0,0.7018,2312
pqc,ML-KEM-768,0,0.7049,2312
pqc,ML-KEM-768,50,129.8563,2312
pqc,ML-KEM-768,50,114.8364,2312
pqc,ML-KEM-768,50,130.3498,2312
pqc,ML-KEM-768,50,132.152,2312
pqc,ML-KEM-768,50,113.9331,2312
pqc,ML-KEM-768,50,137.9562,2312
pqc,ML-KEM-768,50,107.6946,2312
pqc,ML-KEM-768,50,107.16,2312
pqc,ML-KEM-768,50,115.5569,2312
pqc,ML-KEM-768,50,120.3347,2312
hybrid,ML-KEM-768,0,1.4576,2384
hybrid,ML-KEM-768,0,1.5265,2384
hybrid,ML-KEM-768,0,1.4723,2384
hybrid,ML-KEM-768,0,1.5444,2384
hybrid,ML-KEM-768,0,1.43,2384
hybrid,ML-KEM-768,0,1.4928,2384
hybrid,ML-KEM-768,0,1.5165,2384
hybrid,ML-KEM-768,0,2.4928,2384
hybrid,ML-KEM-768,0,2.1285,2384
hybrid,ML-KEM-768,0,1.7166,2384
hybrid,ML-KEM-768,50,104.3914,2384
hybrid,ML-KEM-768,50,130.8935,2384
hybrid,ML-KEM-768,50,115.4683,2384
hybrid,ML-KEM-768,50,130.4183,2384
hybrid,ML-KEM-768,50,123.2378,2384
hybrid,ML-KEM-768,50,122.6466,2384
hybrid,ML-KEM-768,50,114.5727,2384
hybrid,ML-KEM-768,50,130.062,2384
hybrid,ML-KEM-768,50,115.1516,2384
hybrid,ML-KEM-768,50,114.8423,2384
