mode,mechanism,sim_latency_ms,mean_ms,stdev_ms,mean_wire_bytes,n
classical,n/a,0,0.2895,0.0188,72,60
classical,n/a,20,40.5597,0.1788,72,60
classical,n/a,75,150.7433,0.9173,72,60
hybrid,ML-KEM-1024,0,0.5913,0.2161,3216,60
hybrid,ML-KEM-1024,20,40.8122,0.3737,3216,60
hybrid,ML-KEM-1024,75,150.9521,0.3615,3216,60
hybrid,ML-KEM-512,0,0.5062,0.1816,1648,60
hybrid,ML-KEM-512,20,40.8169,0.2821,1648,60
hybrid,ML-KEM-512,75,150.9018,0.2915,1648,60
hybrid,ML-KEM-768,0,0.5394,0.2094,2352,60
hybrid,ML-KEM-768,20,40.7719,0.2115,2352,60
hybrid,ML-KEM-768,75,150.9026,0.2602,2352,60
pqc,ML-KEM-1024,0,0.2932,0.0525,3144,60
pqc,ML-KEM-1024,20,40.6279,0.4399,3144,60
pqc,ML-KEM-1024,75,150.6913,0.3563,3144,60
pqc,ML-KEM-512,0,0.2572,0.0493,1576,60
pqc,ML-KEM-512,20,40.5363,0.2408,1576,60
pqc,ML-KEM-512,75,150.5732,0.1124,1576,60
pqc,ML-KEM-768,0,0.2833,0.0597,2280,60
pqc,ML-KEM-768,20,40.558,0.2316,2280,60
pqc,ML-KEM-768,75,150.7187,0.4268,2280,60
signed,ML-KEM-1024,0,0.7708,0.2332,8413,60
signed,ML-KEM-1024,20,81.3223,0.3509,8413,60
signed,ML-KEM-1024,75,301.6205,0.5171,8413,60
signed,ML-KEM-512,0,0.7142,0.1167,6845,60
signed,ML-KEM-512,20,81.4012,0.4712,6845,60
signed,ML-KEM-512,75,301.6009,0.6728,6845,60
signed,ML-KEM-768,0,0.7306,0.154,7549,60
signed,ML-KEM-768,20,81.3491,0.4032,7549,60
signed,ML-KEM-768,75,301.493,0.2979,7549,60
